    N,       standart,       vinograd,      vinograd2
  100,          54941,          40411,          27642
  200,         382461,         235314,         166473
  300,         975297,         774247,         525205
  400,        2393156,        1807767,        1241595
  500,        4731054,        3635548,        2636803
  600,        8427294,        6085642,        4355868
  700,       13337220,       10125132,        7415196
  800,       20646366,       16823278,       12039603
  900,       29574728,       23660093,       17052129
 1000,       41562730,       33305669,       27938677
    N,       standart,       vinograd,      vinograd2
  100,          35790,          27549,          19473
  200,         284070,         214853,         148292
  300,        1053644,        1095773,         617058
  400,        2878037,        2026413,        1382538
  500,        4897026,        3816403,        2691006
  600,        8506509,        6508180,        4446881
  700,       14074626,       10359762,        7566394
  800,       20306799,       16091004,       11923903
  900,       31293639,       23036767,       17588486
 1000,       39873757,       30036303,       22083896
