    N,         shaker,          Merge,      insertion
  100,           4302,          90629,           3335,
  200,           8411,         187270,           6514,
  300,          12531,         284650,           5442,
  400,           9335,         219608,           7380,
  500,          11654,         258350,           9149,
  600,          13915,         296389,          10945,
  700,          16309,         362989,          13571,
  800,          18611,         415434,          14597,
  900,          20841,         463208,          16297,
 1000,          16058,         359242,          12890,
 1100,          17681,         391216,          13046,
 1200,          19270,         434651,          15749,
 1300,          20852,         471005,          15453,
 1400,          22459,         506946,          16612,
 1500,          24092,         549047,          17848,
 1600,          25671,         579553,          19563,
 1700,          27232,         629784,          22724,
 1800,          28849,         704423,          22614,
 1900,          30420,         725885,          25126,
 2000,          32081,         729492,          25079,
    N,         shaker,          Merge,      insertion
  100,          93485,          27853,          51258,
  200,         378137,          59988,         199816,
  300,         852532,          97971,         452046,
  400,        1508474,         130723,         801187,
  500,        2338816,         161936,        1222286,
  600,        3353583,         202825,        1751791,
  700,        4524600,         237866,        2432590,
  800,        5940413,         265909,        3131129,
  900,        7603133,         307696,        3962410,
 1000,        9370588,         339118,        4929921,
 1100,       11813490,         392150,        6124619,
 1200,       13793203,         425068,        7134005,
 1300,       16076400,         470320,        8510807,
 1400,       18849381,         530640,        9758045,
 1500,       21576273,         538464,       11062697,
 1600,       24469049,         585123,       14941180,
 1700,       28350530,         652740,       14274201,
 1800,       30540905,         648883,       15847340,
 1900,       35286673,         757821,       18213199,
 2000,       37459467,         716151,       19822073,
    N,         shaker,          Merge,      insertion
  100,          83594,          28001,          28905,
  200,         317186,          60522,         105452,
  300,         665026,          97187,         233173,
  400,        1220690,         128917,         415370,
  500,        1848995,         166316,         614783,
  600,        2675818,         195635,        1012577,
  700,        3526278,         237303,        1230972,
  800,        4692318,         268861,        1621538,
  900,        5834013,         309916,        2034209,
 1000,        7153787,         343234,        2456716,
 1100,        8687532,         384047,        2979701,
 1200,       10501673,         421754,        3559032,
 1300,       12285667,         488963,        4169941,
 1400,       13761856,         490437,        4763962,
 1500,       15831839,         529733,        5719166,
 1600,       18525430,         568999,        6273201,
 1700,       20370311,         608132,        7202548,
 1800,       23046670,         650502,        7956212,
 1900,       26061441,         684202,        9276326,
 2000,       29977960,         836201,       10344242,
