    N,          unrec,            rec,              1
  100,              2,              2
  200,              6,              4
  300,             10,             10
  400,             18,             18
  500,             24,             22
  600,             28,             28
  700,             40,             46
  800,             52,             49
  900,             60,             62
 1000,             72,             74
 1100,             87,             92
 1200,            100,            101
 1300,            118,            122
 1400,            135,            158
 1500,            175,            196
 1600,            182,            181
 1700,            194,            221
 1800,            227,            266
 1900,            258,            275
 2000,            273,            283
 2100,            293,            347
 2200,            345,            417
 2300,            399,            387
 2400,            393,            449
 2500,            427,            449
 2600,            551,            479
 2700,            547,            585
 2800,            561,            575
 2900,            629,            647
 3000,            633,            733
