    N,          unrec,            rec,              1
  100,              2,              0
  200,              4,              2
  300,              8,             10
  400,             12,             14
  500,             20,             22
  600,             28,             28
  700,             40,             36
  800,             50,             45
  900,             58,             60
 1000,             70,             78
 1100,             95,            104
 1200,            112,            113
 1300,            129,            135
 1400,            132,            137
 1500,            156,            159
 1600,            174,            189
 1700,            219,            228
 1800,            223,            237
 1900,            252,            267
 2000,            277,            305
 2100,            305,            359
 2200,            319,            333
 2300,            349,            377
 2400,            455,            441
 2500,            423,            471
 2600,            449,            491
 2700,            529,            591
 2800,            567,            649
 2900,            715,            693
 3000,            639,            685
